category,Bitrate (kb/s),PSNR (dB),VMAF,QP,encode_energy,decode_energy,total_energy,std_bitrate,std_psnr,std_vmaf,std_encode_energy,std_decode_energy,std_total_energy,codec
Animation,32242.333333333332,50.76887833333333,98.13098233333334,10,536.4710725293334,2953.116750460666,3489.5878229900004,5544.188569023324,1.2070508325215186,1.3119569536084463,159.99382856030962,1826.5064269333218,1979.5707858904625,x264
Animation,20573.666666666668,46.617399666666664,97.55792833333334,15,743.7717812366667,2387.3316297416663,3131.1034109783336,3061.2930093163063,1.254478555723276,1.859937425269347,269.9256935216322,1194.5088645192532,1462.8929253358995,x264
Animation,11776.0,42.487745,96.42903766666666,20,648.5945383633333,2377.5213097986666,3026.115848162,4181.8188227931,1.2942578645280325,2.7976007886552052,222.29593532861065,1069.8053549533251,1286.3403274161494,x264
Animation,6939.333333333333,38.701703333333334,93.69318166666666,25,568.7377023800001,2359.119251288333,2927.856953668333,3785.0090562052237,1.7188396804622448,4.543580246706653,176.34063748199333,1245.8474704701277,1420.5087050803954,x264
Animation,4317.333333333333,35.26959300000001,89.04774433333334,30,478.74119608999996,2103.4034640570003,2582.144660147,2755.672251113248,2.3149640913803995,7.3672639458314215,176.33361478678495,1223.7076843967277,1398.2044024800318,x264
Animation,2898.3333333333335,32.07846,81.121596,35,500.30734974999996,2324.4332507106665,2824.740600460667,1818.2457357451867,2.9337758847134183,12.466629033093534,151.246874617442,962.5688164238717,1113.35401771305,x264
Animation,1874.0,29.190888666666666,65.524073,40,488.33799332333336,2514.788026101,3003.126019424333,1264.5602661267935,3.7609642468018176,17.233800613543202,155.61867221491283,1018.6783174172466,1169.8347562711892,x264
Animation,999.0,26.708385333333336,48.898316666666666,45,462.96682068,2587.7134304756664,3050.680251155667,724.4257495883664,4.704772816324669,17.50790150467958,174.32006894452434,1150.0498797311327,1300.466363224564,x264
Animation,288.6666666666667,24.443005666666668,33.09202033333333,50,439.4455930666666,2131.824018594,2571.269611660666,187.27935165296668,5.173209041212641,18.78671777503646,182.21504626498967,920.4703912039193,1046.7243114337352,x264
TelevisionClip,38145.666666666664,51.636167,99.73564499999999,10,683.8313848973334,2669.012576134,3352.843961031334,19813.729201967228,2.9003177224991528,0.07882244649844303,137.8310697062224,805.9238178094707,856.4807458247311,x264
TelevisionClip,23658.666666666668,47.97499766666667,99.27786033333332,15,1061.72083982,2076.019523628,3137.740363448,12851.700129641302,3.5663458808029573,0.06093326193103012,184.8894767306712,789.6505373895852,850.7888752974977,x264
TelevisionClip,13927.0,44.39289766666667,97.56282300000002,20,939.04819642,2284.1896665130002,3223.237862933,7312.899470570252,4.28880442711333,0.5599614713537591,129.59149895723812,906.5341574804735,970.5701235456146,x264
TelevisionClip,6815.0,40.690747666666674,92.74363799999999,25,847.8610029266665,2542.751144177333,3390.612147104,3580.367578894659,4.692796253241226,2.288811844030144,149.52674789129765,890.6572436366406,925.8195558844114,x264
TelevisionClip,2833.0,37.776074,84.675145,30,758.85213256,2144.121600172,2902.973732732,1396.017430645716,5.170170246129684,4.488345415017874,215.54410800177277,982.7067259594311,841.9753386926826,x264
TelevisionClip,1205.3333333333333,35.363633666666665,73.24408566666666,35,713.3688559833332,2480.2990540670003,3193.667910050334,471.5939873332663,5.3786158996337425,6.298730758456943,258.10988343016953,1032.8488236953854,920.9960653515875,x264
TelevisionClip,595.6666666666666,32.974576000000006,58.003707999999996,40,694.2993948100001,1873.2132483603334,2567.5126431703334,149.49321798069042,5.25787331917554,6.785261282525872,248.8533659330781,535.2004648055488,485.3068994123921,x264
TelevisionClip,356.6666666666667,30.40243166666667,40.90139033333333,45,728.37619559,1994.2487450523333,2722.6249406423335,65.89048152469032,4.754485938502034,6.444508808854526,232.78788962498268,725.8857528653056,517.94842680623,x264
TelevisionClip,224.66666666666666,27.58362733333333,24.568502,50,675.7669160199999,1872.613234945,2548.380150965,44.51466674654046,3.8481347090125206,4.309896572273012,138.20413242340112,698.1550481486241,716.7156460031232,x264
Animation,33123.666666666664,49.921572,97.94478866666667,10,2187.338736724667,2300.4155846633334,4487.754321388001,5328.136905982135,0.8950249701123808,1.482093493176534,1001.4811591978454,963.81482470727,1921.529403927042,x265
Animation,20066.0,46.34411433333333,97.48538866666667,15,3028.6435349433336,1938.0125227096667,4966.656057653,2098.3055068316435,1.3333048726319956,1.8706013512533608,1282.2463227174535,1197.291296317572,2478.1277166248465,x265
Animation,10972.0,42.735278,96.52929999999999,20,2353.7912325966663,2083.059046192,4436.850278788666,3321.213733963333,1.5898273170890824,2.61594252646358,857.887296466605,1043.3936175357558,1802.401286293832,x265
Animation,6052.666666666667,39.28263066666667,94.32103599999999,25,1839.1962103766666,2155.3953614156667,3994.591571792333,3552.6574404083613,1.8568148313317516,3.9658836981929593,585.961898551442,1394.2324211907282,1942.5740374694897,x265
Animation,3695.6666666666665,35.82707833333333,89.59921899999999,30,1741.9530577799999,2363.1535554703332,4105.106613250334,2695.6607518174255,2.1557490815529112,7.070225640197677,477.2995499037846,1224.5254294800227,1690.0177598500863,x265
Animation,2252.0,32.245213,81.35926433333334,35,1485.1106763766668,1839.6566582353332,3324.7673346120005,1805.169798107646,2.5422621056595776,12.518179385058735,424.4272390433697,1183.5296551965864,1519.5146369003573,x265
Animation,1190.3333333333333,29.084560333333332,68.45029833333334,40,1411.1423083600002,2154.817939727,3565.9602480870003,1069.0336238345774,3.163613815162688,17.149364271981867,468.81978919283097,947.3880470449898,1380.645927669448,x265
Animation,504.6666666666667,26.76347366666667,52.92144166666666,45,1246.1444398699998,2044.5917418223332,3290.7361816923335,536.3309508958894,4.026052215347133,18.297065404243202,528.4443097886228,1320.9037260056982,1800.4791942462991,x265
Animation,239.0,25.285168,40.195209,50,1209.67574719,2327.780501333,3537.4562485230003,259.0688454188706,4.757047627782804,18.369071141164216,564.0492329316945,1081.454535301795,1644.4062932449817,x265
TelevisionClip,36582.333333333336,50.96907033333333,99.543537,10,2661.172041598333,1922.6429676972002,4583.815009295534,24422.35331731067,2.5647795678747056,0.1371849502630192,632.1081995497314,649.9467721836978,1074.7207602229917,x265
TelevisionClip,23166.0,47.41116066666666,98.72949333333332,15,3586.253463253333,1958.869062083,5545.122525336334,16223.970311445551,2.9661039935574673,0.688250212517865,784.6653009553183,457.8582046108289,1226.4154782825126,x265
TelevisionClip,13353.0,43.89497333333333,96.552437,20,2920.62533183,1678.4862591520002,4599.111590982,9704.617079857746,3.4949856680854756,1.8228854938390053,580.7994862014805,465.22592349742035,1028.6178895244982,x265
TelevisionClip,6612.0,40.714399666666665,91.98102,25,2330.172187796667,1626.424765110333,3956.5969529070003,4887.565924534079,4.176121428085022,3.4246998328171796,412.75090126707056,337.077301481436,746.8301982327179,x265
TelevisionClip,2846.0,38.14138833333333,84.94086766666668,30,1844.7170449533332,1664.035534459,3508.7525794123335,1997.9361017476676,4.769126162607171,4.785338870475973,299.4938561418526,481.547215948012,779.7638841146056,x265
TelevisionClip,1109.3333333333333,35.885605000000005,74.625398,35,1511.5576192,1460.3665281383335,2971.9241473383336,718.7166030888361,5.0463753113402765,6.381212781782842,231.91193361047672,385.05590003832435,592.5458071013973,x265
TelevisionClip,409.3333333333333,33.64901833333333,60.22532666666666,40,1296.04552364,1781.2732673346666,3077.3187909746666,211.3217662449585,5.095797349293851,7.763844876487308,253.89846469343274,470.0095320251686,719.439421737923,x265
TelevisionClip,170.33333333333334,31.130757333333335,42.425278999999996,45,1342.7279976566667,1657.726854865333,3000.4548525220002,57.34883511361751,4.996068070002004,8.05836226738378,212.40939928711737,277.9714718111662,430.6378259177291,x265
TelevisionClip,94.33333333333333,28.526667333333332,25.665858,50,1355.5339513600002,1619.7524152593335,2975.2863666193334,23.098821518760552,4.818002534189821,6.256851418665195,212.10129441383452,516.3870588094411,713.438557474858,x265
Animation,21317.333333333332,46.909852,97.13034666666668,12,14098.029344060002,1883.9704924316666,15981.999836491668,8586.569409387093,1.0879413527229618,2.2335089620716153,7155.621373756723,944.1640120943429,8099.785054818758,VP9
Animation,14704.666666666666,44.62681333333333,96.50339666666667,18,15086.15924766,1662.0229926446664,16748.182240304664,7174.065808328094,1.096192086753756,2.7435539251108034,7593.984877514152,1001.090390673112,8533.06886453731,VP9
Animation,11152.666666666666,43.10513433333333,95.90283233333332,24,12232.863291616668,1830.917113064,14063.780404680665,6192.596942227783,1.25040885969812,3.2295536698543286,6696.274115429868,723.5609054506543,7196.760962756743,VP9
Animation,7644.333333333333,41.127058,94.98032699999999,30,9497.588668313334,1534.3909456283334,11031.979613941667,4489.7364683860405,1.7071248222261488,3.7996218899614256,6185.073091299587,952.1393230499345,6712.045487659981,VP9
Animation,5214.666666666667,39.057266999999996,93.47581333333333,36,7187.421631999999,1609.6641786533335,8797.085810653334,3263.7283724122767,2.266432670902447,4.668236356486987,3960.5296570792634,1053.906560964617,4354.379548958656,VP9
Animation,3499.3333333333335,36.834450000000004,91.02027333333335,42,7672.641167536666,1579.8608944333334,9252.502061969999,2499.4315798241455,2.7409114780442416,6.092516745397658,4997.647946340739,803.7731477414983,5210.824142790628,VP9
Animation,2352.0,34.54213733333333,87.03421700000001,48,7425.407596099999,1651.1530356310002,9076.560631731,1910.0834187717212,3.1001818910322374,8.940495924467838,4499.655704052412,687.5865727815773,4633.475720956855,VP9
Animation,1561.6666666666667,32.337387666666665,80.565015,54,6708.194497233333,1534.3315551996668,8242.526052432999,1402.990694512579,3.471097052485215,13.060368037855623,4075.818889581714,981.0207371408637,4377.196561805071,VP9
Animation,980.6666666666666,30.213005,70.780509,60,6989.8544984733335,1653.0212234493335,8642.875721922666,932.6672623300458,3.9073528233074457,15.445740551126192,3272.783601412771,863.8077414459618,3570.069755531713,VP9
TelevisionClip,27727.0,36.53072,99.13439033333333,12,14273.239335986667,1989.227671296,16262.467007282668,22035.686344352125,7.186947984719845,0.531822834400287,5031.124897780718,423.26368120661436,5416.099003169204,VP9
TelevisionClip,21127.0,35.719128000000005,98.33013133333334,18,17438.708201486665,1798.8528465406669,19237.561048027335,17302.274763741327,6.068217528779434,1.2201236525572132,6550.482435906856,370.1601448372939,6896.65922310128,VP9
TelevisionClip,17050.666666666668,35.11687633333333,97.34628433333332,24,16035.661728856669,1529.1441255,17564.80585435667,14272.46585406865,5.253338751318081,1.971456472953492,6162.978479662185,354.5315409832119,6505.228635465372,VP9
TelevisionClip,12268.0,34.26177166666667,95.28539166666667,30,14515.523326973334,1766.8099263993336,16282.333253372666,10497.498209891091,4.132423081447036,3.3053889771214866,6129.189108795658,346.5106010070943,6358.5856248607615,VP9
TelevisionClip,8289.0,33.368782333333336,92.12294933333334,36,14518.872265316668,1743.5742536276666,16262.446518944334,7257.913933539489,3.0420062311786213,4.634445122951715,6071.295177975397,363.49889651220553,6429.393095035177,VP9
TelevisionClip,5120.0,32.446340666666664,87.46300600000001,42,13856.865001643333,2016.9968231303335,15873.861824773667,4538.1941342344535,2.045351646387376,5.9269732074458235,6081.616640599584,380.4867306703984,6454.3306999139595,VP9
TelevisionClip,2885.6666666666665,31.600506,81.32863533333334,48,13231.345308613332,1732.4079241726668,14963.753232786,2526.1201255856554,1.4168968883954343,7.039964241722504,6018.413070181281,282.03056835960945,6296.316365239699,VP9
TelevisionClip,1435.3333333333333,30.829521666666665,73.47004199999999,54,12022.731573849998,1726.2398371326665,13748.971410982665,1195.7999646912338,1.3346843296595965,7.83344330056589,5460.3674301303945,292.60979513375526,5749.7614837772735,VP9
TelevisionClip,633.0,30.061190333333332,63.706943333333335,60,9858.352343403334,1906.0111383993333,11764.363481802668,464.2334183001765,1.6446142483870059,8.44457542161741,4127.686867883153,433.15346181189346,4553.572579239621,VP9
